Summary of all 105 analyzed sorting runs
#,data_type,n,algorithm,comparisons,exchanges,comparison trajectory equation,exchange trajectory equation,time
64,reverse,1500,3-way_merge,7060,7060, y = 1.0008 (x) ^ 1.2135 w/ correlation 100.0 %, y = 1.0008 (x) ^ 1.2135 w/ correlation 100.0 %,execution time: 0.011929 s
65,reverse,2000,3-way_merge,9848,9848, y = 1.0008 (x) ^ 1.2135 w/ correlation 100.0 %, y = 1.0008 (x) ^ 1.2135 w/ correlation 100.0 %,execution time: 0.014119 s
66,reverse,50,heap_sort,430,373, y = 1.0023 (x) ^ 1.4322 w/ correlation 100.0 %, y = 1.0021 (x) ^ 1.4099 w/ correlation 100.0 %,execution time: 0.000944 s
67,reverse,500,heap_sort,8968,7661, y = 1.0023 (x) ^ 1.4322 w/ correlation 100.0 %, y = 1.0021 (x) ^ 1.4099 w/ correlation 100.0 %,execution time: 0.005231 s
68,reverse,1000,heap_sort,20680,17657, y = 1.0023 (x) ^ 1.4322 w/ correlation 100.0 %, y = 1.0021 (x) ^ 1.4099 w/ correlation 100.0 %,execution time: 0.016592 s
69,reverse,1500,heap_sort,34102,29074, y = 1.0023 (x) ^ 1.4322 w/ correlation 100.0 %, y = 1.0021 (x) ^ 1.4099 w/ correlation 100.0 %,execution time: 0.017998 s
70,reverse,2000,heap_sort,47568,40493, y = 1.0023 (x) ^ 1.4322 w/ correlation 100.0 %, y = 1.0021 (x) ^ 1.4099 w/ correlation 100.0 %,execution time: 0.032882 s
71,random	,50,quicksort,156,188, y = 0.9996 (x) ^ 1.2348 w/ correlation 100.0 %, y = 1.0001 (x) ^ 1.2513 w/ correlation 100.0 %,execution time: 0.000938 s
72,random	,500,quicksort,2096,2426, y = 0.9996 (x) ^ 1.2348 w/ correlation 100.0 %, y = 1.0001 (x) ^ 1.2513 w/ correlation 100.0 %,execution time: 0.006480 s
73,random	,1000,quicksort,5021,5685, y = 0.9996 (x) ^ 1.2348 w/ correlation 100.0 %, y = 1.0001 (x) ^ 1.2513 w/ correlation 100.0 %,execution time: 0.005000 s
74,random	,1500,quicksort,8412,9412, y = 0.9996 (x) ^ 1.2348 w/ correlation 100.0 %, y = 1.0001 (x) ^ 1.2513 w/ correlation 100.0 %,execution time: 0.010007 s
75,random	,2000,quicksort,11192,12530, y = 0.9996 (x) ^ 1.2348 w/ correlation 100.0 %, y = 1.0001 (x) ^ 1.2513 w/ correlation 100.0 %,execution time: 0.009000 s
76,random	,50,quicksort_rand,124,159, y = 0.997 (x) ^ 1.2456 w/ correlation 100.0 %, y = 0.9978 (x) ^ 1.261 w/ correlation 100.0 %,execution time: 0.000000 s
77,random	,500,quicksort_rand,2776,3115, y = 0.997 (x) ^ 1.2456 w/ correlation 100.0 %, y = 0.9978 (x) ^ 1.261 w/ correlation 100.0 %,execution time: 0.009349 s
78,random	,1000,quicksort_rand,5149,5818, y = 0.997 (x) ^ 1.2456 w/ correlation 100.0 %, y = 0.9978 (x) ^ 1.261 w/ correlation 100.0 %,execution time: 0.011001 s
79,random	,1500,quicksort_rand,9490,10485, y = 0.997 (x) ^ 1.2456 w/ correlation 100.0 %, y = 0.9978 (x) ^ 1.261 w/ correlation 100.0 %,execution time: 0.011785 s
80,random	,2000,quicksort_rand,12683,14013, y = 0.997 (x) ^ 1.2456 w/ correlation 100.0 %, y = 0.9978 (x) ^ 1.261 w/ correlation 100.0 %,execution time: 0.012001 s
81,random	,50,quicksort_mot,171,204, y = 1.0005 (x) ^ 1.2686 w/ correlation 100.0 %, y = 1.001 (x) ^ 1.2818 w/ correlation 100.0 %,execution time: 0.001631 s
82,random	,500,quicksort_mot,2582,2922, y = 1.0005 (x) ^ 1.2686 w/ correlation 100.0 %, y = 1.001 (x) ^ 1.2818 w/ correlation 100.0 %,execution time: 0.008368 s
83,random	,1000,quicksort_mot,6459,7137, y = 1.0005 (x) ^ 1.2686 w/ correlation 100.0 %, y = 1.001 (x) ^ 1.2818 w/ correlation 100.0 %,execution time: 0.005998 s
84,random	,1500,quicksort_mot,10601,11598, y = 1.0005 (x) ^ 1.2686 w/ correlation 100.0 %, y = 1.001 (x) ^ 1.2818 w/ correlation 100.0 %,execution time: 0.010468 s
85,random	,2000,quicksort_mot,13535,14856, y = 1.0005 (x) ^ 1.2686 w/ correlation 100.0 %, y = 1.001 (x) ^ 1.2818 w/ correlation 100.0 %,execution time: 0.011591 s
86,random	,50,natural_merge,270,244, y = 1.0017 (x) ^ 1.3207 w/ correlation 100.0 %, y = 1.0015 (x) ^ 1.3134 w/ correlation 100.0 %,execution time: 0.000000 s
87,random	,500,natural_merge,4243,3992, y = 1.0017 (x) ^ 1.3207 w/ correlation 100.0 %, y = 1.0015 (x) ^ 1.3134 w/ correlation 100.0 %,execution time: 0.005994 s
88,random	,1000,natural_merge,9460,8970, y = 1.0017 (x) ^ 1.3207 w/ correlation 100.0 %, y = 1.0015 (x) ^ 1.3134 w/ correlation 100.0 %,execution time: 0.010000 s
89,random	,1500,natural_merge,15239,14489, y = 1.0017 (x) ^ 1.3207 w/ correlation 100.0 %, y = 1.0015 (x) ^ 1.3134 w/ correlation 100.0 %,execution time: 0.009998 s
90,random	,2000,natural_merge,20973,19969, y = 1.0017 (x) ^ 1.3207 w/ correlation 100.0 %, y = 1.0015 (x) ^ 1.3134 w/ correlation 100.0 %,execution time: 0.013043 s
91,random	,50,2-way_merge,218,218, y = 1.0016 (x) ^ 1.3085 w/ correlation 100.0 %, y = 1.0016 (x) ^ 1.3085 w/ correlation 100.0 %,execution time: 0.000997 s
92,random	,500,2-way_merge,3853,3853, y = 1.0016 (x) ^ 1.3085 w/ correlation 100.0 %, y = 1.0016 (x) ^ 1.3085 w/ correlation 100.0 %,execution time: 0.011909 s
93,random	,1000,2-way_merge,8692,8692, y = 1.0016 (x) ^ 1.3085 w/ correlation 100.0 %, y = 1.0016 (x) ^ 1.3085 w/ correlation 100.0 %,execution time: 0.010093 s
94,random	,1500,2-way_merge,13950,13950, y = 1.0016 (x) ^ 1.3085 w/ correlation 100.0 %, y = 1.0016 (x) ^ 1.3085 w/ correlation 100.0 %,execution time: 0.040003 s
95,random	,2000,2-way_merge,19420,19420, y = 1.0016 (x) ^ 1.3085 w/ correlation 100.0 %, y = 1.0016 (x) ^ 1.3085 w/ correlation 100.0 %,execution time: 0.019961 s
96,random	,50,3-way_merge,207,156, y = 1.0016 (x) ^ 1.3002 w/ correlation 100.0 %, y = 1.0009 (x) ^ 1.2531 w/ correlation 100.0 %,execution time: 0.001002 s
97,random	,500,3-way_merge,3655,2649, y = 1.0016 (x) ^ 1.3002 w/ correlation 100.0 %, y = 1.0009 (x) ^ 1.2531 w/ correlation 100.0 %,execution time: 0.010000 s
98,random	,1000,3-way_merge,8195,5847, y = 1.0016 (x) ^ 1.3002 w/ correlation 100.0 %, y = 1.0009 (x) ^ 1.2531 w/ correlation 100.0 %,execution time: 0.006183 s
99,random	,1500,3-way_merge,13142,9412, y = 1.0016 (x) ^ 1.3002 w/ correlation 100.0 %, y = 1.0009 (x) ^ 1.2531 w/ correlation 100.0 %,execution time: 0.028584 s
100,random	,2000,3-way_merge,18349,13113, y = 1.0016 (x) ^ 1.3002 w/ correlation 100.0 %, y = 1.0009 (x) ^ 1.2531 w/ correlation 100.0 %,execution time: 0.020995 s
101,random	,50,heap_sort,508,440, y = 1.0032 (x) ^ 1.4476 w/ correlation 100.0 %, y = 1.0029 (x) ^ 1.4244 w/ correlation 100.0 %,execution time: 0.001996 s
102,random	,500,heap_sort,10170,8626, y = 1.0032 (x) ^ 1.4476 w/ correlation 100.0 %, y = 1.0029 (x) ^ 1.4244 w/ correlation 100.0 %,execution time: 0.013004 s
103,random	,1000,heap_sort,23382,19823, y = 1.0032 (x) ^ 1.4476 w/ correlation 100.0 %, y = 1.0029 (x) ^ 1.4244 w/ correlation 100.0 %,execution time: 0.009725 s
104,random	,1500,heap_sort,37642,31885, y = 1.0032 (x) ^ 1.4476 w/ correlation 100.0 %, y = 1.0029 (x) ^ 1.4244 w/ correlation 100.0 %,execution time: 0.047933 s
105,random	,2000,heap_sort,52668,44484, y = 1.0032 (x) ^ 1.4476 w/ correlation 100.0 %, y = 1.0029 (x) ^ 1.4244 w/ correlation 100.0 %,execution time: 0.034369 s
